id,country,city,currency,start_date,length,perc_complete,ribbon_cutting_time,end_yr,end_month,end_day,stations,cost
39,PH,Malibago,PHP,12/15/2019,5692.529,23.85,NULL,1995,2,22,53,89979059
40,JP,Bihoro,JPY,2/20/2000,7926.357,95.56,2027-02-03 22:36:36 UTC,2026,12,20,73,38695166
41,PH,Cagdianao,PHP,12/31/1999,8665.817,5.36,NULL,2024,3,30,3,1927034
42,TH,Mueang Suang,THB,4/9/1992,7896.873,39.21,NULL,1999,5,9,25,69852556
43,SE,Sundbyberg,SEK,3/2/1995,9930.417,73.83,NULL,2002,10,3,16,72258544
44,IE,Kanturk,EUR,9/9/2014,4200.325,44.46,NULL,1997,2,2,107,88186760
45,PT,Vila de Rei,EUR,8/4/1994,10595.882,16.09,NULL,2029,1,29,63,22494098
46,FR,Millau,EUR,11/13/1994,11349.278,79.81,NULL,2018,4,21,17,722316
47,JP,Yaita,JPY,4/3/1997,9541.748,21.38,NULL,1994,8,24,76,79045114
48,JO,Karak City,JOD,7/24/1985,10862.09,32.27,NULL,2027,10,30,97,16097445
49,CA,Gananoque,CAD,9/16/2021,4315.07,84.16,NULL,1984,10,8,27,11949775
50,CZ,Stará Huť,CZK,3/12/2018,5115.64,79.1,NULL,1993,11,25,68,51103530
51,CO,Cerrito,COP,7/10/1992,5698.902,58.46,NULL,2016,6,9,61,10164133
52,ID,Tobilolong,IDR,6/24/2024,11618.143,84.01,NULL,2019,11,13,113,25695485
53,CN,Zhougang,CNY,11/1/2021,8533.769,76.38,NULL,1987,2,16,52,35353684
54,SE,Alfta,SEK,2/19/1986,7229.477,95.13,2007-06-27 15:59:16 UTC,2007,5,13,118,7581129
55,YE,Maţarah,YER,3/18/2018,8202.535,55.6,NULL,2009,7,13,102,59311279
56,BR,Buíque,BRL,5/9/2020,7493.501,56.61,NULL,2005,11,5,56,70058044
57,CN,Nantuo,CNY,9/20/1990,11879.878,25.56,NULL,2016,9,16,98,36996057
58,SE,Solna,SEK,7/3/1990,11177.378,16.27,NULL,1995,12,13,108,51220160
59,PA,El Cortezo,PAB,6/22/2017,1383.752,66.52,NULL,2017,2,25,88,46157070
60,CN,Xiaolongmen,CNY,6/24/2022,11843.007,30.04,NULL,2029,4,19,117,84869587
61,HR,Pregrada,HRK,11/28/1998,11706.032,3.56,NULL,2024,3,19,99,44765282
62,PT,Belos Ares,EUR,9/19/2004,7064.87,87.68,2001-04-28 03:28:00 UTC,2001,3,14,87,48219906
63,HN,San Antonio,HNL,2/7/2001,4761.079,43.31,NULL,2016,11,12,33,79003033
64,NE,Tillabéri,XOF,12/28/2023,794.715,94.87,2013-01-10 02:41:32 UTC,2012,11,26,118,34460151
65,MU,Albion,MUR,1/22/2004,9079.447,6.34,NULL,2016,9,4,109,12583915
66,IL,Nazareth,ILS,10/5/1986,3672.615,52.36,NULL,1985,5,5,66,33640649
67,CN,Fengren,CNY,6/11/2006,2220.852,74.71,NULL,2025,1,13,19,6307917
68,BR,Caieiras,BRL,7/29/2013,2350.247,1.91,NULL,2015,10,23,47,40297311
69,ID,Ponggok,IDR,11/21/2018,8108.293,38.1,NULL,1999,11,18,49,71937746
70,TH,Amnat Charoen,THB,7/21/2011,10421.835,12.91,NULL,2000,6,6,16,46035789
71,CN,Yunji,CNY,1/26/2026,5708.916,57.63,NULL,1992,7,7,110,26189013
72,CN,Annan,CNY,11/28/1984,2741.927,32.89,NULL,2005,4,27,105,59472963
73,CN,Wushan,CNY,1/31/1998,9031.602,35.74,NULL,1987,6,4,2,41190872
74,RU,Kuvshinovo,RUB,3/5/2008,4844.71,61.81,NULL,2029,11,7,67,70921480
75,PH,Camias,PHP,11/4/2002,9236.74,3.08,NULL,1984,9,7,58,45153143
76,JP,Takefu,JPY,12/21/1992,5656.227,95.95,2028-07-17 21:29:33 UTC,2028,6,2,9,59651809
77,CA,St. Thomas,CAD,9/26/1993,924.49,92.02,1987-08-08 15:11:28 UTC,1987,6,24,64,21071311
78,SE,Finspång,SEK,1/29/2021,6550.347,83.53,NULL,1995,3,31,57,60160866
79,JP,Tajimi,JPY,7/26/2011,11788.199,56.49,NULL,2003,6,3,60,22740753
80,CN,Xing’an,CNY,9/6/1992,771.43,85.31,1996-08-29 16:52:15 UTC,1996,7,15,26,60486391
81,PT,Telheira,EUR,10/6/2012,445.127,47.45,NULL,2014,11,21,53,54852411
82,CN,Yuntan,CNY,8/6/2001,205.775,29.92,NULL,2016,4,21,109,40589749
83,CN,Zudun,CNY,1/6/1992,719.779,82.54,NULL,2014,3,1,50,89862800
84,CN,Yangjiao,CNY,10/12/2003,4138.901,63.52,NULL,1993,5,12,78,20298134
85,PT,Marinhais,EUR,12/14/2023,10807.709,2.63,NULL,2006,4,25,2,41056785
86,SH,Edinburgh of the Seven Seas,SHP,9/8/2024,3132.681,70.95,NULL,1988,2,1,47,57118535
87,IE,Killorglin,EUR,8/2/1983,2797.885,93.44,2026-11-24 16:49:01 UTC,2026,10,10,116,86863065
88,RU,Egvekinot,RUB,3/26/1988,4309.108,20.63,NULL,1996,1,2,11,73985996
89,CN,Yixingfu,CNY,4/28/1993,6106.546,88.65,2022-07-04 20:05:59 UTC,2022,5,20,42,19854692
90,CN,Chengui,CNY,9/23/2021,11912.638,67.21,NULL,2008,6,8,21,37797200
91,CN,Wanmao,CNY,7/27/2022,7490.895,59.71,NULL,2018,12,21,57,10889099
92,US,Reno,USD,10/29/2014,4413.829,42.93,NULL,1993,10,14,81,35756959
93,US,Saint Petersburg,USD,7/24/2007,3439.171,85,2021-02-20 18:27:50 UTC,2021,1,6,84,36529350
94,PH,Limanancong,PHP,3/15/1996,3332.472,87.77,1994-12-15 19:38:10 UTC,1994,10,31,17,54040671
95,UG,Bweyogerere,UGX,1/30/2014,668.474,93.5,2002-03-06 23:10:07 UTC,2002,1,20,68,74932631
96,CN,Xialiao,CNY,10/5/2013,5128.566,50.68,NULL,2014,6,24,30,31784745
97,ID,Rukem,IDR,2/8/1984,4826.291,82.06,NULL,2019,7,6,80,84212833
98,RU,Georgiyevsk,RUB,8/10/2006,7488.905,43.42,NULL,2021,6,13,69,31045484
99,SE,Stockholm,SEK,10/30/2020,1603.396,55.93,NULL,1987,7,9,34,60700587
100,MX,5 de Mayo,MXN,7/27/1988,1308.384,6.34,NULL,2009,3,3,90,27691687
101,ID,Gawanan,IDR,11/24/1983,1072.522,79.21,NULL,2003,11,21,24,52002791
102,TG,Tsévié,XOF,9/29/2004,11295.257,5.53,NULL,2013,4,18,43,24162632
103,CN,Longchi,CNY,4/6/1989,10637.881,72.66,NULL,2002,1,4,43,88032113
104,ZA,Delareyville,ZAR,6/4/2021,6786.869,40.59,NULL,2016,9,28,100,89592760
105,UA,Komyshuvakha,UAH,2/18/1998,2384.79,17.75,NULL,1994,5,4,4,45972328
106,PE,La Unión,PEN,5/28/1999,4381.763,46.1,NULL,1998,6,10,90,46532778
107,VN,Thị Trấn Sìn Hồ,VND,12/30/1999,9790.211,75.44,NULL,2017,5,16,79,19304036
108,CN,Dongxing,CNY,10/6/1985,10730.525,83.53,NULL,2019,12,14,35,16055676
109,ID,Kelapa,IDR,12/30/2006,12244.856,76.63,NULL,1995,2,24,9,10574877
110,CN,Dinggou,CNY,3/21/2003,9244.527,12.7,NULL,1997,5,17,110,64389660
111,CN,Yujin,CNY,1/14/2022,11227.43,16.58,NULL,1988,4,26,9,13031432
112,CZ,Pecka,CZK,12/17/1997,3536.085,11.88,NULL,1988,11,9,93,51636770
113,UA,Kostryzhivka,UAH,10/14/2010,5667.087,68.82,NULL,1993,1,19,5,65341360
114,PH,Bilao,PHP,5/4/2015,1796.485,58.09,NULL,2016,2,8,119,73033268
115,PK,Vihāri,PKR,9/24/1990,4059.615,6.99,NULL,1996,10,3,46,79150680
116,PL,Chojnów,PLN,7/31/1988,2065.348,0.2,NULL,2013,6,12,88,78255200
117,CZ,Česká Skalice,CZK,3/27/2022,3476.606,82.32,NULL,2015,5,4,83,88762409
118,RU,Ilovlya,RUB,7/4/2005,258.938,10.31,NULL,2015,6,21,86,58554731
119,CN,Danglang Hudong,CNY,12/17/1991,3531.367,14.78,NULL,2016,8,13,89,56312140
120,CN,Changma,CNY,2/13/2001,9729.85,60.04,NULL,2002,10,10,30,26072296
121,PH,Pancol,PHP,11/15/2011,926.141,83.49,NULL,2002,3,29,49,43339409
122,GR,Papágou,EUR,1/1/1989,10875.981,27.75,NULL,1994,3,1,115,36597302
123,RU,Perelyub,RUB,4/22/1999,2553.396,70.29,NULL,2015,10,13,70,72205815
124,BR,Biguaçu,BRL,12/6/2004,6271.143,76.4,NULL,1992,8,7,100,18534962
125,CA,Concord,CAD,12/31/2007,223.805,21.01,NULL,2021,12,21,33,77136166
126,US,Virginia Beach,USD,7/25/2023,10308.697,64.01,NULL,2020,6,19,78,52056460
127,CA,Rocky Mountain House,CAD,5/22/1984,5672.753,24.73,NULL,2012,8,11,116,25676269
128,SD,Al Qadarif,SDG,7/18/2001,2628.467,64.33,NULL,1999,10,21,78,71965914
129,RU,Argayash,RUB,10/26/2006,9475.426,27.62,NULL,2008,9,2,85,9449085
130,CZ,Velká Bíteš,CZK,12/23/2019,11374.559,31.63,NULL,1990,11,19,77,86674832
131,RU,Rostov,RUB,10/21/1996,3197.382,18.88,NULL,1989,9,19,34,12316199
132,FR,Pau,EUR,2/25/2019,5269.598,2.56,NULL,1991,3,25,49,73084071
133,PH,Silae,PHP,11/18/2006,1862.496,36.95,NULL,2004,1,24,50,1758625
134,CO,La Tola,COP,4/4/2003,8230.858,74.05,NULL,2018,5,3,50,71767581
135,CN,Huangrangping,CNY,6/3/2023,4125.775,55.24,NULL,2022,4,10,115,72011132
136,IR,Kermānshāh,IRR,7/24/2017,956.476,37.34,NULL,1997,2,1,32,54325073
137,TH,Nong Bua Lamphu,THB,10/20/2024,3824.752,6.52,NULL,1984,11,1,87,592163
138,MN,Nogoonnuur,MNT,5/7/2022,4434.634,55.64,NULL,1986,2,14,37,17642763
139,BA,Varoška Rijeka,BAM,6/7/2000,626.667,51.63,NULL,2008,5,30,14,88349405
140,SV,El Rosario,USD,6/18/2004,7649.144,12.38,NULL,1991,9,22,91,38162743
141,PT,A-da-Gorda,EUR,10/25/1997,10046.534,92.42,2009-04-21 12:58:32 UTC,2009,3,7,27,70329663
142,PH,Manoc-Manoc,PHP,11/1/1999,744.656,9.46,NULL,2017,5,19,59,69786425
143,CN,Xianhe,CNY,1/7/1995,2292.77,72.32,NULL,2014,8,21,45,72465779
144,BR,Indaial,BRL,3/1/2012,6863.745,75.12,NULL,2023,10,8,104,3569117
145,ID,Parakanhonje Wetan,IDR,11/27/2009,10859.356,22.56,NULL,2000,10,19,35,2125877
146,FR,Palaiseau,EUR,9/8/2008,7565.62,21.63,NULL,2025,1,28,70,49987047
147,GB,Liverpool,GBP,10/23/1998,11154.965,26.32,NULL,2027,12,2,77,10623506
148,PH,Tagoloan,PHP,2/11/2003,989.245,47.38,NULL,2011,10,30,9,56732679
149,ID,Ardirejo,IDR,5/1/1999,3840.972,93.96,2000-10-18 12:00:20 UTC,2000,9,3,104,35783325
150,CN,Xiheshan,CNY,11/6/1997,11824.74,35.99,NULL,2019,9,6,29,46410798
151,RU,Borgustanskaya,RUB,4/17/2018,4853.339,0.94,NULL,1998,10,29,25,45717590
152,CN,Huazangsi,CNY,8/25/1995,9723.34,62.15,NULL,2010,12,11,88,38805303
153,CN,Huomachong,CNY,4/6/1985,11965.039,1.15,NULL,2001,10,16,104,25069906
154,TN,El Hamma,TND,12/30/2024,3484.647,7.41,NULL,2008,7,19,29,73323580
155,US,Tacoma,USD,4/26/1991,9762.034,44.8,NULL,2018,10,21,58,77111188
156,KR,Su-dong,KRW,5/24/2000,1224.23,58.45,NULL,2009,7,13,94,70916806
157,MX,Vista Hermosa,MXN,8/11/2017,5697.891,90.43,2010-07-04 14:38:08 UTC,2010,5,20,110,88327338
158,PA,Narganá,PAB,3/6/2015,4488.245,60.11,NULL,2020,1,16,98,59944115
159,GR,Saronída,EUR,9/25/1986,8164.039,56.12,NULL,2017,9,9,18,52746634
160,SE,Uppsala,SEK,7/31/2025,10572.556,4.55,NULL,1985,8,22,13,15972552
161,CN,Shigu,CNY,11/11/2018,6406.763,40.22,NULL,1985,11,14,58,59546764
162,CN,Guodu,CNY,5/2/2013,9923.72,46.36,NULL,2002,10,20,8,56814984
163,PH,Magalalag,PHP,12/8/1982,3559.115,43.86,NULL,2024,3,31,94,77316007
164,ID,Nangalimang,IDR,2/6/2003,1933.642,89.22,2013-09-29 15:33:54 UTC,2013,8,15,104,70322539
165,BO,Vallegrande,BOB,1/27/1984,3909.936,15.88,NULL,1992,3,22,32,39974857
166,PL,Boniewo,PLN,6/19/2013,4534.556,44.44,NULL,2023,7,12,43,38423478
167,CR,Matina,CRC,5/21/1991,11348.158,2.04,NULL,1998,2,8,103,83154749
168,CN,Hepingyizu,CNY,8/29/2024,278.345,57.79,NULL,2023,10,19,117,86008981
169,CN,Hanting,CNY,9/12/1994,2232.687,21.32,NULL,2009,12,7,86,23568065
170,PL,Puńsk,PLN,11/12/1995,10812.864,88.83,2029-03-27 20:45:39 UTC,2029,2,10,70,64965787
171,CD,Matadi,CDF,1/22/1996,1679.872,49.28,NULL,1997,11,21,62,41346041
172,EC,Azogues,USD,7/24/1992,4930.435,10.72,NULL,2029,1,4,54,75417443
173,ID,Cibungur,IDR,4/21/2001,782.394,51.86,NULL,1997,12,3,119,894997
174,PH,Harrison,PHP,10/23/1997,2277.323,82.22,NULL,2020,8,26,81,32263055
175,AR,Avellaneda,ARS,3/18/1999,4482.949,34.44,NULL,1995,4,9,105,18054897
176,BY,Tsimkavichy,BYR,7/14/2000,11045.022,29.02,NULL,2008,9,9,55,87807319
177,ID,Tempel,IDR,10/27/1993,11114.226,95.74,1987-11-08 21:14:52 UTC,1987,9,24,25,2058528
178,SD,Nyala,SDG,1/27/2007,11885.251,83.51,NULL,1999,9,2,75,78430895
179,CN,Bajing,CNY,6/15/2001,11369.111,74.07,NULL,2022,2,15,88,11482971
180,KZ,Bayanaūyl,KZT,3/24/1984,3707.142,72.23,NULL,2003,11,2,45,83046696
181,CL,Valdivia,CLP,7/9/2025,214.212,75.48,NULL,2007,8,23,90,57486355
182,BY,Ivanava,BYR,5/2/2014,10728.347,77.33,NULL,1991,8,19,13,58476326
183,US,Portland,USD,9/14/2002,4657.536,7.6,NULL,1988,9,10,83,48793532
184,ID,Curuggoong,IDR,10/17/2001,8405.357,82.22,NULL,2012,3,5,98,57332778
185,BR,Lagoa Vermelha,BRL,4/9/2015,5679.048,34.04,NULL,2010,6,13,61,16832100
186,HR,Runović,HRK,12/5/2018,8857.065,7.81,NULL,1986,12,23,45,53535339
187,US,San Jose,USD,10/27/2000,8728.942,74.77,NULL,1995,10,22,58,9876444
188,CN,Jiangzhang,CNY,2/8/1987,7678.026,56.26,NULL,2015,12,28,65,25671118
189,CN,Gucheng,CNY,1/13/1992,11286.608,96.89,1987-06-26 11:36:37 UTC,1987,5,12,47,84296372
190,CA,Beaconsfield,CAD,1/13/1985,11409.68,39.49,NULL,1989,3,4,72,13226554
191,PH,Liboran,PHP,12/7/2024,10374.206,10.75,NULL,1985,2,26,23,45210837
192,CN,Xinxiang,CNY,6/17/1998,5163.877,24.63,NULL,2024,3,5,15,80387645
193,ID,Cigadog,IDR,6/1/2010,2562.206,40.63,NULL,2011,1,5,108,7342082
194,UA,Berezne,UAH,5/5/2002,12192.22,97.9,1999-10-03 19:36:17 UTC,1999,8,19,111,35190333
195,FI,Pöytyä,EUR,8/5/2001,2764.937,74.57,NULL,2002,12,1,19,62665032
196,CN,Xumu,CNY,11/23/1983,7889.946,16.12,NULL,2018,7,31,93,46133614
197,PL,Krosno Odrzańskie,PLN,3/7/2003,5502.163,20.53,NULL,2003,5,20,76,61616298
198,ZA,Kroonstad,ZAR,6/26/2014,7317.987,44.96,NULL,2024,10,14,86,65959096
199,RU,Suzëmka,RUB,6/22/2011,6546.648,34.1,NULL,1998,4,27,35,75592451
200,CN,Mishixiang,CNY,8/16/2013,762.289,0.95,NULL,2029,6,20,63,4409896
201,IR,Ardabīl,IRR,6/3/1991,790.822,56.73,NULL,1997,7,18,14,23832286
202,FR,Nanterre,EUR,10/2/2014,6950.796,95.71,1995-07-22 11:07:24 UTC,1995,6,7,59,45142659
203,PH,Umingan,PHP,6/12/2011,9903.256,4.36,NULL,1992,6,17,59,85459939
204,RU,Tavricheskoye,RUB,12/22/2006,3776.09,92.55,2017-11-24 06:25:07 UTC,2017,10,10,78,81007431
205,CN,Shuanglong,CNY,4/20/1985,4212.268,44.12,NULL,2018,7,12,68,60283900
206,SE,Uppsala,SEK,2/3/2017,10507.887,43.91,NULL,2005,2,8,61,23135324
207,HR,Turanj,HRK,3/15/1991,10323.219,75.97,NULL,1985,1,3,38,75465288
208,PT,São Bartolomeu,EUR,3/7/2006,5812.839,79.78,NULL,1988,10,8,108,60983676
209,GR,Selianítika,EUR,8/30/1989,3204.62,55.83,NULL,2023,1,1,27,55258550
210,RU,Oranzherei,RUB,5/29/2014,12238.003,66.54,NULL,1996,6,13,55,12817995
211,HR,Marčelji,HRK,11/25/2015,9128.227,51.73,NULL,2020,5,26,97,58913341
212,CN,Dinggou,CNY,2/9/1992,2343.129,89.75,2027-01-30 13:38:00 UTC,2026,12,16,77,8108838
213,BA,Maglaj,BAM,9/7/2001,8056.781,36.73,NULL,1984,8,25,98,53437506
214,CZ,Nový Bydžov,CZK,2/28/2003,3516.799,11.23,NULL,2023,10,30,105,89183421
215,SV,San Agustín,USD,6/13/2017,6933.558,10.33,NULL,1994,2,6,8,62590852
216,CN,Jiangwei,CNY,4/2/2010,8036.251,41.84,NULL,2012,8,6,46,26049336
217,PH,Botigues,PHP,10/12/2013,4655.965,85.45,2028-01-26 21:54:22 UTC,2027,12,12,67,83229089
218,GR,Loukísia,EUR,10/3/1992,10160.4,48.38,NULL,1992,8,25,25,72586250
219,MA,Talmest,MAD,6/15/2007,7954.344,12.8,NULL,2013,2,5,110,50651275
220,ID,Cikeper,IDR,9/26/2004,347.875,42.9,NULL,2003,7,29,14,33742230
221,ID,Mojogajeh,IDR,8/6/2004,3464.562,48.08,NULL,2028,11,14,36,38313199
222,ID,Cikulahan,IDR,4/29/2003,913.691,19.8,NULL,2007,9,19,120,88464815
223,CN,Hekou,CNY,11/12/2002,10061.526,98.31,1996-11-20 06:48:05 UTC,1996,10,6,79,18067654
224,CO,Villanueva,COP,11/13/2025,4536.772,61.21,NULL,2000,10,11,72,67796835
225,ID,Paka,IDR,2/24/2001,4257.761,70.17,NULL,1998,7,23,89,10656670
226,RU,Tosno,RUB,8/18/1988,7705.123,5.69,NULL,1990,1,25,99,64006562
227,ID,Ciwaru,IDR,7/30/2022,2860.752,71.58,NULL,2002,3,23,42,86565797
228,CN,Hor,CNY,12/2/2007,3195.105,82.88,NULL,2013,4,27,120,61190323
229,CN,Beitan,CNY,11/20/1988,8107.857,31.83,NULL,1990,9,6,23,41367210
230,GR,Avlónas,EUR,3/11/1995,8215.15,17.87,NULL,2028,9,25,99,12286743
231,BR,Planaltina,BRL,12/30/2001,9164.489,54.48,NULL,2006,2,7,41,43858261
232,LB,Marjayoûn,LBP,10/2/1985,5137.846,65.07,NULL,2010,5,15,14,15221608
233,MN,Зуунмод,MNT,4/5/2004,5312.738,75.54,NULL,1997,1,27,78,3618040
234,PT,Corticeiro de Baixo,EUR,5/29/1999,6515.662,79.5,NULL,2018,8,28,75,20679511
235,CN,Jiangluo,CNY,7/27/1990,5456.937,0.32,NULL,2022,11,4,117,460003
236,CN,Chashan,CNY,12/12/2004,7359.299,87.34,1990-08-09 11:27:25 UTC,1990,6,25,99,45080953
237,CN,Mafeng,CNY,5/27/2013,6943.505,51.61,NULL,2000,11,19,92,22051090
238,TH,Ban Dung,THB,5/19/2024,11826.227,42.98,NULL,2005,5,29,58,30147360
239,PE,Huata,PEN,10/1/2017,6796.886,68.52,NULL,2020,5,29,75,12906435
240,BR,Leopoldina,BRL,11/3/2025,10775.745,18.76,NULL,2001,8,2,24,84116886
241,CN,Sankeng,CNY,7/17/2025,5086.45,25.61,NULL,1989,3,3,90,7512291
242,PK,Gujrāt,PKR,1/26/2021,11919.075,56.32,NULL,2019,11,28,115,85986013
243,RS,Prokuplje,RSD,11/10/1998,4460.314,38.08,NULL,1999,2,5,31,63594289
244,ID,Birsa,IDR,7/17/1990,11931.678,43.07,NULL,1999,12,20,52,59667776
245,UA,Bilozerka,UAH,7/2/2011,10151.975,2.5,NULL,1985,5,31,98,73521641
246,GR,Varnávas,EUR,10/29/2002,3317.507,54.38,NULL,2022,1,17,11,72147014
247,ID,Babakan,IDR,5/25/2007,4767.482,82.46,NULL,2024,1,19,39,1694124
248,FR,Rennes,EUR,6/24/1982,8274.221,13.4,NULL,2023,3,9,26,46810477
249,RU,Uvarovo,RUB,4/14/1993,666.493,34.58,NULL,2002,1,8,34,6117318
250,UA,Verkhniy Rohachyk,UAH,3/25/2014,2313.595,82.05,NULL,2004,8,19,42,69799249
251,ID,Ciherang,IDR,1/29/2003,4824.287,74.75,NULL,2011,1,3,9,39801888
252,CN,Tianxin,CNY,3/5/2021,9174.287,100,2026-04-11 06:57:45 UTC,2026,2,25,72,54685721
253,NG,Maiyema,NGN,7/11/2013,4033.619,54.66,NULL,1992,11,6,66,22903325
254,US,Santa Rosa,USD,12/4/2013,3378.646,94.8,2008-09-21 01:56:39 UTC,2008,8,7,67,24819004
255,SI,Ruše,EUR,5/7/1997,12087.808,98.66,1994-11-11 15:49:36 UTC,1994,9,27,33,50724652
256,ID,Temenggungan,IDR,3/27/2019,5999.026,72.37,NULL,2027,1,17,29,76641531
257,CN,Siqu,CNY,11/11/2014,5505.913,48.98,NULL,2010,2,5,11,62492858
258,FR,Rungis,EUR,12/17/1988,7767.335,78.1,NULL,2007,10,13,63,82397143
259,MX,Roma,MXN,4/17/2023,11631.765,67.96,NULL,2007,4,14,45,48839111
260,CN,Jielin,CNY,7/18/1993,8880.192,92.72,1988-10-16 14:01:47 UTC,1988,9,1,93,47735952
261,DE,Halle,EUR,6/4/1986,9139.836,15.43,NULL,1986,2,18,76,30505382
262,GT,San José Poaquil,GTQ,12/30/2020,578.671,2.91,NULL,2005,3,4,107,69226571
263,ID,Bunigeulis,IDR,6/4/2022,5946.35,30.69,NULL,2015,9,10,95,71393234
264,PK,New Mīrpur,PKR,3/20/2002,9485.386,55.29,NULL,1986,5,1,113,42265334
265,KN,Nicola Town,XCD,7/5/1997,4323.816,91.17,2010-01-06 15:28:54 UTC,2009,11,22,71,62764197
266,RU,Issad,RUB,6/8/1994,8867.787,99.02,2014-06-21 11:52:13 UTC,2014,5,7,97,63965331
267,ID,Sumberbatas,IDR,8/26/1983,896.462,78.16,NULL,2023,4,2,95,50457857
268,RU,Zavidovo,RUB,5/20/1995,10807.189,68.23,NULL,1992,2,6,44,85651113
269,RU,Rudnichnyy,RUB,5/12/2008,1361.886,14.9,NULL,2022,6,17,13,88360726
270,RU,Belyye Stolby,RUB,3/12/1994,8185.629,55.6,NULL,1997,6,15,114,10503992
271,FR,Paris 20,EUR,6/21/1997,9853.46,64.03,NULL,1988,5,28,62,37241287
272,CN,Maintang,CNY,9/1/2017,10159.067,46.93,NULL,2021,10,19,72,63692893
273,RU,Kubachi,RUB,4/30/2003,10041.316,1.26,NULL,2005,2,25,15,29462941
274,ID,Bunigeulis,IDR,11/8/1990,1930.05,95,2006-12-29 07:16:34 UTC,2006,11,14,55,59373185
275,ID,Pakel,IDR,8/7/1993,10527.577,76.15,NULL,2017,7,4,74,52951211
276,PL,Goczałkowice Zdrój,PLN,3/4/2024,8033.344,18.28,NULL,1995,4,11,78,85228405
277,ID,Sale,IDR,10/13/2023,8690.335,71.01,NULL,1993,9,24,82,9944290
